Approved symbol,Approved name,Accession numbers,UniProt ID,ENTREZ ID,Ensembl ID
AC005777.3,,,,,
RP11-54O7.14,,,,,
TSLP,thymic stromal lymphopoietin,BC040592,Q969D9,85480,ENSG00000145777
SET5,,,,,
RNA5SP197,"RNA, 5S ribosomal pseudogene 197",,,100873459,ENSG00000200227
CTB-36H16.2,,,,,
UBE2V1P5,ubiquitin conjugating enzyme E2 V1 pseudogene 5,,,100287173,ENSG00000226582
CTSL3P,"cathepsin L family member 3, pseudogene",AJ851862,Q5NE16,392360,ENSG00000188029
LINC01436,long intergenic non-protein coding RNA 1436,,,100996609,ENSG00000231106
HBA2,hemoglobin subunit alpha 2,BC008572,P69905,3040,ENSG00000188536
GOLGA6L11P,"golgin A6 family like 11, pseudogene",,,360024,ENSG00000223698
LAS1,,,,,
RNU7-107P,"RNA, U7 small nuclear 107 pseudogene",,,106479067,ENSG00000238523
LINC01102,long intergenic non-protein coding RNA 1102,,,150568,ENSG00000235597
CYCSP3,CYCS pseudogene 3,M22893,,349198,
SPC25,SPC25 component of NDC80 kinetochore complex,AF225416,Q9HBM1,57405,ENSG00000152253
PCL2,,,,,
ZNF192P1,zinc finger protein 192 pseudogene 1,,,651302,ENSG00000226314
RP3-437C15.1,,,,,
RPL13P2,ribosomal protein L13 pseudogene 2,,,128500,ENSG00000213820
SPCC622.15c,,,,,
MUC1,"mucin 1, cell surface associated",J05581,P15941,4582,ENSG00000185499
PNRC2P1,proline rich nuclear receptor coactivator 2 pseudogene 1,,,100131261,ENSG00000228217
RHOT1,ras homolog family member T1,AJ517412,Q8IXI2,55288,ENSG00000126858
RP11-284F21.11,,,,,
HIST2H2AA4,histone cluster 2 H2A family member a4,L19779,Q6FI13,723790,ENSG00000272196
AGA,aspartylglucosaminidase,X55330,P20933,175,ENSG00000038002
RPS21P5,ribosomal protein S21 pseudogene 5,,,100271236,
SPBC1778.09,,,,,
SPAC20G8.04c,,,,,
TIMM23,translocase of inner mitochondrial membrane 23,AF030162,O14925,100287932,ENSG00000265354
ZKSCAN7,zinc finger with KRAB and SCAN domains 7,"L32164, AY280798",Q9P0L1,55888,ENSG00000196345
PRAMEF27,PRAME family member 27,,A3QJZ7,101929983,ENSG00000274764
RN7SKP27,"RNA, 7SK small nuclear pseudogene 27",,,106480841,ENSG00000222616
RP11-288D15.1,,,,,
AC016773.1,,,,,
MIR3152,microRNA 3152,,,100422869,
PCDH8P1,protocadherin 8 pseudogene 1,,,100133285,ENSG00000225510
ZBTB12,zinc finger and BTB domain containing 12,BC043609,Q9Y330,221527,ENSG00000204366
B3GNT4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",AB049586,Q9C0J1,79369,ENSG00000176383
RP3-402G11.28,,,,,
AC002398.12,,,,,
ELOA3B,elongin A3 family member B,,Q3SY89,728929,ENSG00000278674
VPS68,,,,,
RP11-554L12.3,,,,,
TYROBP,TYRO protein tyrosine kinase binding protein,AF019563,O43914,7305,ENSG00000011600
SNORA7.1,,,,,
MYBPC1,"myosin binding protein C, slow type",,Q00872,4604,ENSG00000196091
RNY3P11,RNY3 pseudogene 11,,,106481713,ENSG00000201023
RPL13AP24,ribosomal protein L13a pseudogene 24,,,100271603,
KRT8P29,keratin 8 pseudogene 29,,,391155,ENSG00000236430
NXPE2P1,neurexophilin and PC-esterase domain family member 2 pseudogene 1,,,,ENSG00000255982
FAM127A,,,,,
H14A12.3,,,,,
RNU6-1263P,"RNA, U6 small nuclear 1263, pseudogene",,,106480653,ENSG00000207331
PCSK7,proprotein convertase subtilisin/kexin type 7,U40623,Q16549,9159,ENSG00000160613
RP1-228P16.3,,,,,
SVIL-AS1,SVIL antisense RNA 1,,,102724316,ENSG00000224597
AHCTF1,AT-hook containing transcription factor 1,,Q8WYP5,25909,ENSG00000153207
RP11-430H12.2,,,,,
TRY-GTA11-1,transfer RNA-Tyr (GTA) 11-1,HG984088,,100189507,
GRIK4,glutamate ionotropic receptor kainate type subunit 4,S67803,Q16099,2900,ENSG00000149403
AC145676.2,,,,,
MIR6085,microRNA 6085,,,102464834,
RP11-246K15.1,,,,,
CPEB1-AS1,CPEB1 antisense RNA 1,BC035360,,283692,ENSG00000259462
RP5-943J3.2,,,,,
VWA1,von Willebrand factor A domain containing 1,BC059409,Q6PCB0,64856,ENSG00000179403
GBX1,gastrulation brain homeobox 1,L11239,Q14549,2636,ENSG00000164900
GPR148,G protein-coupled receptor 148,AY255532,Q8TDV2,344561,ENSG00000173302
NSE5,,,,,
RP11-305A4.3,,,,,
DLGAP4-AS1,DLGAP4 antisense RNA 1,BC039668,,101926987,ENSG00000232907
WRN,Werner syndrome RecQ like helicase,,Q14191,7486,ENSG00000165392
TFB2,,,,,
WDR7-OT1,WDR7 overlapping transcript 1,DA634713,,,ENSG00000267225
TRV-CAC3-1,transfer RNA-Val (CAC) 3-1,HG984118,,100189416,
AL031663.1,,,,,
OR1F2P,olfactory receptor family 1 subfamily F member 2 pseudogene,AJ003145,Q96R84,26184,ENSG00000203581
AC067735.1,,,,,
LA16c-429E7.1,,,,,
CBX5,chromobox 5,U26311,P45973,23468,ENSG00000094916
PLXDC2,plexin domain containing 2,AF378757,Q6UX71,84898,ENSG00000120594
xapR,,,,,
NSF,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",,P46459,4905,ENSG00000073969
SNTG2-AS1,SNTG2 antisense RNA 1,,,101060391,ENSG00000235688
TNFSF15,TNF superfamily member 15,AF039390,O95150,9966,ENSG00000181634
CTD-2050I18.2,,,,,
CT47A6,cancer/testis antigen family 47 member A6,,Q5JQC4,728062,ENSG00000226023
SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2",U66616,Q8TAQ2,6601,ENSG00000139613
GRASP,general receptor for phosphoinositides 1 associated scaffold protein,AC019244,Q7Z6J2,160622,ENSG00000161835
ABTB1,ankyrin repeat and BTB domain containing 1,AB053324,Q969K4,80325,ENSG00000114626
HMGA1,high mobility group AT-hook 1,AF176039,P17096,3159,ENSG00000137309
mdl1,,,,,
TRMT112P6,tRNA methyltransferase subunit 11-2 pseudogene 6,,,391358,ENSG00000268412
SNORA31.6,,,,,
yibN,,,,,
AC104457.1,,,,,
RP11-709P2.1,,,,,
AL445665.2,,,,,
PLD2,phospholipase D2,AF035483,O14939,5338,ENSG00000129219
RP11-14J7.1,,,,,
RBMS1P1,RNA binding motif single stranded interacting protein 1 pseudogene 1,D82351,,5938,ENSG00000225422
snoR442,,,,,
ACTR2,actin related protein 2,AF006082,P61160,10097,ENSG00000138071
YCL068C,,,,,
RP11-464D20.2,,,,,
KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1,AF035046,Q16558,3779,ENSG00000145936
RP11-555H23.1,,,,,
OR7E24,olfactory receptor family 7 subfamily E member 24,Y10529,Q6IFN5,26648,
SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,L13857,Q07889,6654,ENSG00000115904
RP11-460I13.2,,,,,
CYP4V2,cytochrome P450 family 4 subfamily V member 2,AK022114,Q6ZWL3,285440,ENSG00000145476
TBC1D3P7,TBC1 domain family member 3 pseudogene 7,,,,ENSG00000233014
RNU6-741P,"RNA, U6 small nuclear 741, pseudogene",,,106479894,ENSG00000206616
DKFZP434H0512,,,,,
PDZD2,PDZ domain containing 2,AB002298,O15018,23037,ENSG00000133401
SAMD4A,sterile alpha motif domain containing 4A,AB028976,Q9UPU9,23034,ENSG00000020577
CTD-2647E9.3,,,,,
MIR3913-2,microRNA 3913-2,,,100500868,
AC006028.11,,,,,
ZBED3,zinc finger BED-type containing 3,BC007239,Q96IU2,84327,ENSG00000132846
clcB,,,,,
hisC,,,,,
SPAC22A12.17c,,,,,
C1orf56,chromosome 1 open reading frame 56,BC002469,Q9BUN1,54964,ENSG00000143443
MIR548X2,microRNA 548x-2,,,100616302,
CDC42BPG,CDC42 binding protein kinase gamma,AY648038,Q6DT37,55561,ENSG00000171219
PPP1CB,protein phosphatase 1 catalytic subunit beta,,P62140,5500,ENSG00000213639
ynd1,,,,,
C3,complement C3,J04763,P01024,718,ENSG00000125730
ANKRD26P1,ankyrin repeat domain 26 pseudogene 1,BC070117,Q6NSI1,124149,ENSG00000261239
RN7SL569P,"RNA, 7SL, cytoplasmic 569, pseudogene",,,106481077,ENSG00000239468
RP11-452D21.2,,,,,
RNA5S10,"RNA, 5S ribosomal 10",,,100169761,ENSG00000199910
ynjF,,,,,
SLC5A12,solute carrier family 5 member 12,BC049207,Q1EHB4,159963,ENSG00000148942
LINC02567,long intergenic non-protein coding RNA 2567,,,,ENSG00000237552
yihE,,,,,
plg7,,,,,
RP11-1055B8.6,,,,,
ryh1,,,,,
SNORD115-34,"small nucleolar RNA, C/D box 115-34",AF250841,,100033808,ENSG00000199311
RPL7P14,ribosomal protein L7 pseudogene 14,,,100129743,ENSG00000232994
MIR1587,microRNA 1587,,,100616251,ENSG00000263972
MIR3179-3.1,,,,,
RP11-109I13.2,,,,,
CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2,AF078845,Q9Y6H1,51142,ENSG00000106153
AC008691.1,,,,,
CTD-2200A16.1,,,,,
AL162430.1,,,,,
bglB,,,,,
KRT74,keratin 74,BK000977,Q7RTS7,121391,ENSG00000170484
TLR3,toll like receptor 3,U88879,O15455,7098,ENSG00000164342
yebK,,,,,
BTF3P14,basic transcription factor 3 pseudogene 14,,,100132641,ENSG00000262609
RP11-159F24.6,,,,,
RP11-560B16.5,,,,,
TSC22D3,TSC22 domain family member 3,Z50781,Q99576,1831,ENSG00000157514
RN7SL773P,,,,,
ycfR,,,,,
TRI-AAT7-1,tRNA-Ile (AAT) 7-1,HG983853,,100189148,
RP11-230B22.1,,,,,
IQCF3,IQ motif containing F3,AK057432,P0C7M6,401067,ENSG00000229972
FMO8P,"flavin containing monooxygenase 8, pseudogene",,,100129007,ENSG00000238087
AC097372.1,,,,,
KIAA0391.1,,,,,
AP005530.2,,,,,
BEX4,brain expressed X-linked 4,AL035494,Q9NWD9,56271,ENSG00000102409
TRAJ50,T cell receptor alpha joining 50,M94081,,28705,ENSG00000211839
TRAV13-1,T cell receptor alpha variable 13-1,AE000659,A0A0B4J241,28671,ENSG00000211788
pfd-5,,,,,
TRC-GCA21-1,tRNA-Cys (GCA) 21-1,HG983711,,100189375,
yicS,,,,,
RORC,RAR related orphan receptor C,U16997,P51449,,ENSG00000143365
RP11-503L23.1,,,,,
OR1A2,olfactory receptor family 1 subfamily A member 2,AF155225,Q9Y585,26189,ENSG00000172150
LA16c-360H6.3,,,,,
mraW,,,,,
CRISPLD2,cysteine rich secretory protein LCCL domain containing 2,AL136861,Q9H0B8,83716,ENSG00000103196
PEX11,,,,,
LINC01724,long intergenic non-protein coding RNA 1724,,,105371673,ENSG00000227421
TRMU,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase,AY062123,O75648,55687,ENSG00000100416
RP11-343J18.2,,,,,
LRRC4C,leucine rich repeat containing 4C,AB046800,Q9HCJ2,57689,
PNMA8B,PNMA family member 8B,AB033009,Q9ULN7,57469,ENSG00000204851
CTD-2005H7.2,,,,,
RP11-56A10.1,,,,,
eaf1,,,,,
DDX11L3,DEAD/H-box helicase 11 like 3,AM992865,,100302657,
MIR505,microRNA 505,,,574508,ENSG00000207633
HOXB5,homeobox B5,,P09067,3215,ENSG00000120075
ZNF383,zinc finger protein 383,AY438646,Q8NA42,163087,
RNU6-661P,"RNA, U6 small nuclear 661, pseudogene",,,106479859,ENSG00000199279
SHISA2,shisa family member 2,,Q6UWI4,387914,ENSG00000180730
GRPEL2,"GrpE like 2, mitochondrial",AL832325,Q8TAA5,134266,ENSG00000164284
LINC01574,long intergenic non-protein coding RNA 1574,,,102577424,ENSG00000248859
CTD-2616J11.15,,,,,
RNU6-514P,"RNA, U6 small nuclear 514, pseudogene",,,106480586,ENSG00000206935
BZRAP1-AS1,,,,,
RP11-605F14.2,,,,,
RHOU,ras homolog family member U,,Q7L0Q8,58480,ENSG00000116574
RP11-470E16.1,,,,,
YRA1,,,,,
STRN3,striatin 3,,Q13033,29966,ENSG00000196792
RP11-69H7.4,,,,,
RPL23AP86,ribosomal protein L23a pseudogene 86,,,100507357,ENSG00000262959
OR10T2,olfactory receptor family 10 subfamily T member 2,AB065643,Q8NGX3,128360,ENSG00000186306
RP11-447E20.1,,,,,
Z84812.4,,,,,
RNY3P15,RNY3 pseudogene 15,,,107178919,ENSG00000252106
MBD4,"methyl-CpG binding domain 4, DNA glycosylase",AF072250,O95243,8930,ENSG00000129071
NUMBL,NUMB like endocytic adaptor protein,AF015401,Q9Y6R0,9253,ENSG00000105245
CCDC34P1,coiled-coil domain containing 34 pseudogene 1,,,100288584,ENSG00000250556
KIZ,kizuna centrosomal protein,AF220187,Q2M2Z5,55857,ENSG00000088970
REST,RE1 silencing transcription factor,U13879,Q13127,5978,ENSG00000084093
RPIAP1,ribose 5-phosphate isomerase A pseudogene 1,,,619449,ENSG00000267597
SENP3,SUMO specific peptidase 3,AK000923,Q9H4L4,26168,
pmm1,,,,,
RNF219,ring finger protein 219,BC028586,Q5W0B1,79596,ENSG00000152193
RP11-571F15.2,,,,,
CLCP2,Charcot-Leyden crystal protein pseudogene 2,BK006815,,100128145,ENSG00000226158
BCL11A,BAF chromatin remodeling complex subunit BCL11A,AJ404611,Q9H165,53335,ENSG00000119866
SPC97,,,,,
SNORA5,,,,,
Y_RNA.200,,,,,
ARF2P,"ADP ribosylation factor 2, pseudogene",,,108489980,
AL139812.1,,,,,
RP11-359E8.5,,,,,
RPLP1P5,ribosomal protein lateral stalk subunit P1 pseudogene 5,,,130678,
YKL018C-A,,,,,
RP11-709A23.1,,,,,
ERP5,,,,,
SPATA31D3,SPATA31 subfamily D member 3,,P0C874,389762,ENSG00000186788
RPEP6,ribulose-5-phosphate-3-epimerase pseudogene 6,,,100420590,ENSG00000257075
cysH,,,,,
RNA5SP105,"RNA, 5S ribosomal pseudogene 105",,,100873376,ENSG00000212425
RNU7-76P,"RNA, U7 small nuclear 76 pseudogene",,,100151673,
SPBC902.03,,,,,
MARCH11,membrane associated ring-CH-type finger 11,BC150513,A6NNE9,441061,ENSG00000183654
ZNF728,zinc finger protein 728,BC128130,P0DKX0,388523,ENSG00000269067
yaeL,,,,,
PAX7,paired box 7,X96743,P23759,5081,ENSG00000009709
AC108721.1,,,,,
B4GALNT1,"beta-1,4-N-acetyl-galactosaminyltransferase 1",M83651,Q00973,2583,ENSG00000135454
DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,Y09216,Q92630,8445,ENSG00000127334
CTD-2319I12.3,,,,,
ALG1L13P,"ALG1 like 13, pseudogene",,,,ENSG00000253981
IGHVIII-67-2,immunoglobulin heavy variable (III)-67-2 (pseudogene),AB019437,,28342,ENSG00000254036
kdsA,,,,,
MIR410,microRNA 410,,,574434,ENSG00000199092
VIT,vitrin,AF063833,Q6UXI7,5212,ENSG00000205221
DCTN1-AS1,DCTN1 antisense RNA 1,BC042946,,100189589,ENSG00000237737
RN7SL378P,"RNA, 7SL, cytoplasmic 378, pseudogene",,,106481026,ENSG00000265684
CASD1,CAS1 domain containing 1,AF355594,Q96PB1,64921,ENSG00000127995
ppk33,,,,,
creD,,,,,
xylE,,,,,
MIR340,microRNA 340,,,442908,ENSG00000198995
B3GAT2,"beta-1,3-glucuronyltransferase 2",AB075843,Q9NPZ5,135152,ENSG00000112309
APC11,,,,,
AC006080.1,,,,,
Y_RNA.23,,,,,
BET2,,,,,
ZBTB41,zinc finger and BTB domain containing 41,,Q5SVQ8,360023,ENSG00000177888
AC096772.6,,,,,
RP1-69D17.4,,,,,
rstA,,,,,
LINC01303,long intergenic non-protein coding RNA 1303,,,101927780,ENSG00000250548
INPP5B,inositol polyphosphate-5-phosphatase B,M74161,P32019,3633,ENSG00000204084
yhcG,,,,,
TXNDC11,thioredoxin domain containing 11,BC013727,Q6PKC3,51061,
ribF,,,,,
M01F1.8,,,,,
RP11-598O8.1,,,,,
SCP2D1,SCP2 sterol binding domain containing 1,AL035563,Q9UJQ7,140856,ENSG00000132631
SP140L,SP140 nuclear body protein like,BC004921,Q9H930,93349,ENSG00000185404
LL22NC03-84E4.11,,,,,
RGS19,regulator of G protein signaling 19,X91809,P49795,10287,ENSG00000171700
yfcR,,,,,
USP16,ubiquitin specific peptidase 16,AF126736,Q9Y5T5,,ENSG00000156256
MIR6511A1,microRNA 6511a-1,,,102466268,
RNU7-177P,,,,,
LRRC16B,,,,,
RNU1-98P,"RNA, U1 small nuclear 98, pseudogene",,,106481622,ENSG00000239023
SPAC1093.03,,,,,
GAT3,,,,,
HIRA,histone cell cycle regulator,X75296,P54198,7290,ENSG00000100084
ZNF558,zinc finger protein 558,AK055494,Q96NG5,148156,ENSG00000167785
ZYG11A,"zyg-11 family member A, cell cycle regulator",,Q6WRX3,440590,ENSG00000203995
LOC728323,,,,,
OXER1,oxoeicosanoid receptor 1,AB083055,Q8TDS5,165140,ENSG00000162881
FAM226A,family with sequence similarity 226 member A,BC041962,,203429,
AC080037.1,,,,,
CTD-2382H12.1,,,,,
RP11-473I1.5,,,,,
TRAV41,T cell receptor alpha variable 41,AE000661,A0A0B4J266,28640,ENSG00000211820
MAPT,microtubule associated protein tau,J03778,P10636,4137,ENSG00000186868
PLCL2-AS1,PLCL2 antisense RNA 1,,,,ENSG00000226441
EBM,"epidermolysis bullosa, macular type",,,,
GPAT3,glycerol-3-phosphate acyltransferase 3,AK055749,Q53EU6,84803,ENSG00000138678
CCDC197,coiled-coil domain containing 197,BI463117,Q8NCU1,256369,ENSG00000175699
iadA,,,,,
MRTO4,"MRT4 homolog, ribosome maturation factor",AK027569,Q9UKD2,51154,ENSG00000053372
CASP14,caspase 14,,P31944,23581,ENSG00000105141
RP11-343B5.1,,,,,
ytfF,,,,,
AC104794.4,,,,,
QDR2,,,,,
mraZ,,,,,
NCKAP1,NCK associated protein 1,AB014509,Q9Y2A7,10787,ENSG00000061676
PSMC3,"proteasome 26S subunit, ATPase 3",M34079,P17980,5702,ENSG00000165916
LOC494127,,,,,
CENPJ,centromere protein J,AF139625,Q9HC77,55835,ENSG00000151849
AC093843.1,,,,,
TENM3-AS1,TENM3 antisense RNA 1,,,90768,ENSG00000177822
LINC02356,long intergenic non-protein coding RNA 2356,,,105369984,ENSG00000257595
SNORD42,,,,,
RNU6-995P,"RNA, U6 small nuclear 995, pseudogene",,,106481494,ENSG00000212546
RP11-54O15.3,,,,,
OR7E115P,olfactory receptor family 7 subfamily E member 115 pseudogene,AL157391,,81353,ENSG00000182531
RNU6-282P,"RNA, U6 small nuclear 282, pseudogene",,,106479691,ENSG00000202227
RP11-123I22.1,,,,,
FFAR4,free fatty acid receptor 4,,Q5NUL3,338557,ENSG00000186188
MRPL42P4,mitochondrial ribosomal protein L42 pseudogene 4,,,346470,ENSG00000242552
SDHDP7,succinate dehydrogenase complex subunit D pseudogene 7,,,388606,
ZNRF2P1,zinc and ring finger 2 pseudogene 1,,,441208,ENSG00000237004
yfjO,,,,,
VPS28,VPS28 subunit of ESCRT-I,AF316887,Q9UK41,51160,ENSG00000160948
RP11-661A12.9,,,,,
SNHG11,small nucleolar RNA host gene 11,AF497716,,128439,ENSG00000174365
ABHD13,abhydrolase domain containing 13,AK027812,Q7L211,84945,ENSG00000139826
RP11-781A6.1,,,,,
Y_RNA.306,,,,,
tim13,,,,,
MT-TC,mitochondrially encoded tRNA-Cys (UGU/C),,,4511,ENSG00000210140
TBC1D3,TBC1 domain family member 3,,Q8IZP1,729873,ENSG00000274611
AC109133.1,,,,,
MBTPS1,"membrane bound transcription factor peptidase, site 1",D42053,Q14703,8720,ENSG00000140943
RNU6-1314P,"RNA, U6 small nuclear 1314, pseudogene",,,106481595,ENSG00000252948
RNU6-662P,"RNA, U6 small nuclear 662, pseudogene",,,106479860,ENSG00000206980
PRPF40A,pre-mRNA processing factor 40 homolog A,AF049523,O75400,55660,ENSG00000196504
MMP19,matrix metallopeptidase 19,X92521,Q99542,4327,ENSG00000123342
yedX,,,,,
RNA5SP277,"RNA, 5S ribosomal pseudogene 277",,,100873530,ENSG00000202356
PML,promyelocytic leukemia,AB208950,P29590,5371,ENSG00000140464
FOXO1,forkhead box O1,,Q12778,2308,ENSG00000150907
RP11-586K12.11,,,,,
YDL177C,,,,,
PAU3,,,,,
RPS4XP19,ribosomal protein S4X pseudogene 19,,,645573,ENSG00000242058
CBSL,cystathionine-beta-synthase like,,P0DN79,102724560,ENSG00000274276
RP11-745A24.2,,,,,
CTD-2320G14.2,,,,,
SIGLEC26P,"sialic acid binding Ig like lectin 26, pseudogene",AC008750,,114185,
FAM234A,family with sequence similarity 234 member A,AL136542,Q9H0X4,83986,ENSG00000167930
CTD-3023L14.1,,,,,
CCDC53,,,,,
RP11-675P14.1,,,,,
mde2,,,,,
AC061975.4,,,,,
RP11-876F14.2,,,,,
ERVK-8,"endogenous retrovirus group K member 8, envelope","FN806840, AY037929","P61575, P62685, P63122, P63133, Q902F8",619465,
KLHL6,kelch like family member 6,AF441792,Q8WZ60,89857,ENSG00000172578
yfbH,,,,,
PRSS50,serine protease 50,AF100707,Q9UI38,29122,ENSG00000206549
dedD,,,,,
snoU13.161,,,,,
RNU6-262P,"RNA, U6 small nuclear 262, pseudogene",,,106481261,ENSG00000222249
SPBC2A9.02,,,,,
TMEM272,transmembrane protein 272,AK094626,A0A1B0GTI8,283521,ENSG00000281106
BST2,bone marrow stromal cell antigen 2,,Q10589,684,ENSG00000130303
PIRC73,piwi-interacting RNA cluster 73,,,100313795,
PSG4,pregnancy specific beta-1-glycoprotein 4,,Q00888,5672,ENSG00000243137
LIMA1,LIM domain and actin binding 1,AF198454,Q9UHB6,51474,
WDR45BP1,WD repeat domain 45B pseudogene 1,,,646086,ENSG00000265574
ST13P9,"ST13, Hsp70 interacting protein pseudogene 9",,,390301,
AP003498.1,,,,,
CCDC60,coiled-coil domain containing 60,BC040553,Q8IWA6,160777,ENSG00000183273
snoU13.278,,,,,
PTGS1,prostaglandin-endoperoxide synthase 1,M59979,P23219,5742,ENSG00000095303
AC021052.1,,,,,
RP11-1E6.1,,,,,
SPBC16C6.05,,,,,
pnuC,,,,,
ALMS1-IT1,ALMS1 intronic transcript 1,BC041487,,100874291,ENSG00000230002
GALNT6,polypeptide N-acetylgalactosaminyltransferase 6,Y08565,Q8NCL4,11226,ENSG00000139629
PCAT1,prostate cancer associated transcript 1,HQ605084,,100750225,ENSG00000253438
SNORA70.4,,,,,
Y_RNA.308,,,,,
MNX1,motor neuron and pancreas homeobox 1,AF107457,P50219,3110,ENSG00000130675
nohB,,,,,
SRPRA,SRP receptor subunit alpha,BC001162,P08240,6734,ENSG00000182934
Y_RNA.759,,,,,
ydiF,,,,,
TPT1P11,"tumor protein, translationally-controlled 1 pseudogene 11",,,,ENSG00000239995
TRIM13,tripartite motif containing 13,AF220127,O60858,10206,ENSG00000204977
PPAN,peter pan homolog,BC033202,Q9NQ55,56342,ENSG00000130810
LINC02389,long intergenic non-protein coding RNA 2389,,,400046,ENSG00000255693
SCML2,Scm polycomb group protein like 2,Y18004,Q9UQR0,10389,ENSG00000102098
MIR1323,microRNA 1323,,,100302255,ENSG00000221017
POU2F2,POU class 2 homeobox 2,,P09086,5452,
ybgL,,,,,
OR1E1,olfactory receptor family 1 subfamily E member 1,U04642,P30953,8387,ENSG00000180016
PSMC2,"proteasome 26S subunit, ATPase 2",D11094,P35998,5701,ENSG00000161057
gmh2,,,,,
AC079834.1,,,,,
AL353662.3,,,,,
YER175W-A,,,,,
arsC,,,,,
OR2A41P,olfactory receptor family 2 subfamily A member 41 pseudogene,,,403234,ENSG00000239967
KB-288A10.19,,,,,
RP11-1H8.1,,,,,
AC083799.1,,,,,
AC008984.2,,,,,
SPBC36.11,,,,,
AC005391.2,,,,,
fliH,,,,,
yjgR,,,,,
AL133262.1,,,,,
RPL22P8,ribosomal protein L22 pseudogene 8,,,100270957,ENSG00000237745
IL17D,interleukin 17D,AY078238,Q8TAD2,53342,ENSG00000172458
STOML3,stomatin like 3,BC025760,Q8TAV4,,ENSG00000133115
RPL7AP44,ribosomal protein L7a pseudogene 44,,,100271398,
B4GALT1,"beta-1,4-galactosyltransferase 1",X14085,P15291,2683,ENSG00000086062
AL354806.1,,,,,
RPS14P4,ribosomal protein S14 pseudogene 4,,,100132382,ENSG00000226928
ERVK-26,endogenous retrovirus group K member 26,JZ164910,,,
TASOR,transcription activation suppressor,AF180425,Q9UK61,23272,ENSG00000163946
CASP6,caspase 6,U20536,P55212,839,ENSG00000138794
YTHDC1,YTH domain containing 1,AK098515,Q96MU7,91746,ENSG00000083896
ENPP7P10,ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 10,,,100421805,ENSG00000249767
RPL7P16,ribosomal protein L7 pseudogene 16,,,729677,ENSG00000242899
bun62,,,,,
GFPT1,glutamine--fructose-6-phosphate transaminase 1,,Q06210,2673,ENSG00000198380
rsxC,,,,,
AC092625.1,,,,,
RN7SL190P,"RNA, 7SL, cytoplasmic 190, pseudogene",,,106479291,ENSG00000264933
SPAC8C9.12c,,,,,
cwf15,,,,,
AC010642.1,,,,,
HMGB1P21,high mobility group box 1 pseudogene 21,,,100419947,ENSG00000248909
ZC2HC1A,zinc finger C2HC-type containing 1A,,Q96GY0,51101,ENSG00000104427
SLC28A3,solute carrier family 28 member 3,AF305210,Q9HAS3,64078,ENSG00000197506
RP11-127I20.7,,,,,
SNORD113-1,"small nucleolar RNA, C/D box 113-1",,,767561,ENSG00000202191
RPL21P14,ribosomal protein L21 pseudogene 14,AC090515,,729208,
VTRNA2-2P,"vault RNA 2-2, pseudogene",,,106479538,ENSG00000251900
AC002365.1,,,,,
RGI2,,,,,
SCAR3,"spinocerebellar ataxia, autosomal recessive 3",,,,
ZSCAN32,zinc finger and SCAN domain containing 32,AK000424,Q9NX65,54925,ENSG00000140987
RP11-136I13.1,,,,,
MTND5P14,MT-ND5 pseudogene 14,,,100873258,ENSG00000230225
AC079584.2,,,,,
DUSP11,dual specificity phosphatase 11,AF023917,O75319,8446,ENSG00000144048
RNU6-822P,"RNA, U6 small nuclear 822, pseudogene",,,106479930,ENSG00000199577
AC069278.4,,,,,
HTR3D,5-hydroxytryptamine receptor 3D,AY159812,Q70Z44,200909,ENSG00000186090
DAB2,DAB adaptor protein 2,U53446,P98082,1601,ENSG00000153071
LAYN,layilin,,Q6UX15,143903,ENSG00000204381
PPH2,primary pulmonary hypertension 2,,,89873,
TRE-CTC4-1,tRNA-Glu (CTC) 4-1,HG983762,,100189506,
RP11-514P8.8,,,,,
AC073130.3,,,,,
AL669831.1,,,,,
TMPRSS7,transmembrane serine protease 7,BN000125,Q7RTY8,344805,ENSG00000176040
RP11-467J12.3,,,,,
LINC02065,long intergenic non-protein coding RNA 2065,,,101928741,ENSG00000248846
SEPT14P21,septin 14 pseudogene 21,,,107075107,ENSG00000231512
TRR-CCG1-2,transfer RNA-Arg (CCG) 1-2,HG983603,,100189084,
Z97632.1,,,,,
XRCC4,X-ray repair cross complementing 4,AB017445,Q13426,7518,ENSG00000152422
AC017104.4,,,,,
CCE1,,,,,
COX12,,,,,
RP11-318I4.2,,,,,
chp1,,,,,
LINC00352,long intergenic non-protein coding RNA 352,,,,ENSG00000227893
RP11-468N14.12,,,,,
SSX8P,"SSX family member 8, pseudogene",BK000688,Q7RTT4,280659,ENSG00000157965
yhbW,,,,,
TSTA3,tissue specific transplantation antigen P35B,U58766,Q13630,7264,ENSG00000104522
ypjB,,,,,
MIR3687-2,microRNA 3687-2,,,103504728,
RP11-231L11.3,,,,,
RNA5SP149,"RNA, 5S ribosomal pseudogene 149",,,106480437,ENSG00000201822
